"Title","Card Path","Evidence Quality","Fulltext URL","Fulltext Checked","Supplement Status","Citation Status","DOI Status","arXiv Status","Code Checked","Experiment Extracted","Results Extracted","Ablation Extracted","Failure Cases Extracted","Limitations Extracted","Remaining Gap Extracted","Excel Synced","Last Verified","Deep Enrichment Completed","Deep Enrichment Status"
"RoboMamba: Efficient Vision-Language-Action Model for Robotic Reasoning and Manipulation","02_Papers\01_VLA\RoboMamba.md","B","https://proceedings.neurips.cc/paper_files/paper/2024/hash/46a126492ea6fb87410e55a58df2e189-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"RoboMonkey: Scaling Test-Time Sampling and Verification for Vision-Language-Action Models","02_Papers\01_VLA\RoboMonkey.md","B","https://proceedings.mlr.press/v305/kwok25a.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"SimpleVLA-RL: Scaling VLA Training via Reinforcement Learning","02_Papers\01_VLA\SimpleVLA-RL.md","B","https://proceedings.iclr.cc/paper_files/paper/2026/hash/cbfbcb4da14235bd69b134070898ae9d-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"SP-VLA: A Joint Model Scheduling and Token Pruning Approach for VLA Model Acceleration","02_Papers\01_VLA\SP-VLA.md","B","https://proceedings.iclr.cc/paper_files/paper/2026/hash/4072543747a14bbed76284cf2c04b9e9-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"SpatialVLA: Exploring Spatial Representations for Visual-Language-Action Models","02_Papers\01_VLA\SpatialVLA.md","B","https://www.roboticsproceedings.org/rss21/p011.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"TraceVLA: Visual Trace Prompting Enhances Spatial-Temporal Awareness for Generalist Robotic Policies","02_Papers\01_VLA\TraceVLA.md","B","https://proceedings.iclr.cc/paper_files/paper/2025/hash/8667f264f88c7938a73a53ab01eb1327-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"VideoVLA: Video Generators Can Be Generalizable Robot Manipulators","02_Papers\01_VLA\VideoVLA.md","B","https://proceedings.neurips.cc/paper_files/paper/2025/hash/89a3b655a8b68ae1c76b768152c9c19d-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"VLA-Cache: Efficient Vision-Language-Action Manipulation via Adaptive Token Caching","02_Papers\01_VLA\VLA-Cache.md","B","https://proceedings.neurips.cc/paper_files/paper/2025/hash/f062da1973ac9ac61fc6d44dd7fa309f-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Dreamitate: Real-World Visuomotor Policy Learning via Video Generation","02_Papers\02_Robot_Manipulation\Dreamitate.md","B","https://proceedings.mlr.press/v270/liang24a.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"ManipLLM: Embodied Multimodal Large Language Model for Object-Centric Robotic Manipulation","02_Papers\02_Robot_Manipulation\ManipLLM.md","A","https://openaccess.thecvf.com/content/CVPR2024/html/Li_ManipLLM_Embodied_Multimodal_Large_Language_Model_for_Object-Centric_Robotic_Manipulation_CVPR_2024_paper.html","Yes","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2026-09-21","true","Completed - Full text read"
"RobotSmith: Generative Robotic Tool Design for Acquisition of Complex Manipulation Skills","02_Papers\02_Robot_Manipulation\RobotSmith.md","B","https://proceedings.neurips.cc/paper_files/paper/2025/hash/9fc291fef2f9607a46777d367f900a15-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"SPIN: Simultaneous Perception, Interaction and Navigation","02_Papers\02_Robot_Manipulation\SPIN.md","B","https://openaccess.thecvf.com/content/CVPR2024/html/Uppal_SPIN_Simultaneous_Perception_Interaction_and_Navigation_CVPR_2024_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"VidMan: Exploiting Implicit Dynamics from Video Diffusion Model for Effective Robot Manipulation","02_Papers\02_Robot_Manipulation\VidMan.md","B","https://proceedings.neurips.cc/paper_files/paper/2024/hash/481c70828a4ff20d31a646cc6cc95f3d-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"2HandedAfforder: Learning Precise Actionable Bimanual Affordances from Human Videos","02_Papers\03_Bimanual\2HandedAfforder.md","A","https://openaccess.thecvf.com/content/ICCV2025/html/Heidinger_2HandedAfforder_Learning_Precise_Actionable_Bimanual_Affordances_from_Human_Videos_ICCV_2025_paper.html","Yes","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2026-09-21","true","Completed - Full text read"
"ALOHA Unleashed: A Simple Recipe for Robot Dexterity","02_Papers\03_Bimanual\ALOHA_Unleashed.md","B","https://proceedings.mlr.press/v270/zhao25b.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"AnyBimanual: Transferring Unimanual Policy for General Bimanual Manipulation","02_Papers\03_Bimanual\AnyBimanual.md","A","https://openaccess.thecvf.com/content/ICCV2025/html/Lu_AnyBimanual_Transferring_Unimanual_Policy_for_General_Bimanual_Manipulation_ICCV_2025_paper.html","Yes","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2026-09-21","true","Completed - Full text read"
"BimArt: A Unified Approach for the Synthesis of 3D Bimanual Interaction with Articulated Objects","02_Papers\03_Bimanual\BimArt.md","B","https://openaccess.thecvf.com/content/CVPR2025/html/Zhang_BimArt_A_Unified_Approach_for_the_Synthesis_of_3D_Bimanual_CVPR_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"COMBO-Grasp: Learning Constraint-Based Manipulation for Bimanual Occluded Grasping","02_Papers\03_Bimanual\COMBO-Grasp.md","B","https://proceedings.mlr.press/v305/yamada25a.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Constrained Bimanual Planning with Analytic Inverse Kinematics","02_Papers\03_Bimanual\Constrained_Bimanual_Planning.md","B","https://ieeexplore.ieee.org/document/10610675/","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Diffusion-Based Imaginative Coordination for Bimanual Manipulation","02_Papers\03_Bimanual\Diffusion-Based_Imaginative_Coordination_for_Bimanual_Manipulation.md","B","https://openaccess.thecvf.com/content/ICCV2025/html/Xu_Diffusion-Based_Imaginative_Coordination_for_Bimanual_Manipulation_ICCV_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Forecasting Bimanual Object Manipulation Sequences from Unimanual Observations","02_Papers\03_Bimanual\Forecasting_Bimanual_Object_Manipulation_Sequences_from_Unimanual_Observations.md","B","https://ojs.aaai.org/index.php/AAAI/article/view/28266","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"HumanoidGen: Data Generation for Bimanual Dexterous Manipulation via LLM Reasoning","02_Papers\03_Bimanual\HumanoidGen.md","B","https://proceedings.neurips.cc/paper_files/paper/2025/hash/e4ef7454447baa15a424314e6284441b-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Learning Diverse Bimanual Dexterous Manipulation Skills from Human Demonstrations","02_Papers\03_Bimanual\Learning_Diverse_Bimanual_Dexterous_Manipulation_Skills_from_Human_Demonstrations.md","B","https://ojs.aaai.org/index.php/AAAI/article/view/40127","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"ManipTrans: Efficient Dexterous Bimanual Manipulation Transfer via Residual Learning","02_Papers\03_Bimanual\ManipTrans.md","B","https://openaccess.thecvf.com/content/CVPR2025/html/Li_ManipTrans_Efficient_Dexterous_Bimanual_Manipulation_Transfer_via_Residual_Learning_CVPR_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Mobile ALOHA: Learning Bimanual Mobile Manipulation Using Low-Cost Whole-Body Teleoperation","02_Papers\03_Bimanual\Mobile_ALOHA.md","B","https://proceedings.mlr.press/v270/fu25b.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Gripper Pose and Object Pointflow as Interfaces for Robotic Bimanual Manipulation","02_Papers\03_Bimanual\PPI_Bimanual.md","B","https://www.roboticsproceedings.org/rss21/p160.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"RDT-1B: a Diffusion Foundation Model for Bimanual Manipulation","02_Papers\03_Bimanual\RDT-1B.md","B","https://proceedings.iclr.cc/paper_files/paper/2025/hash/49f80e4d2471ad4f2edf4f5f1ab62339-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Real-Time Coordination of Multiple Robotic Arms With Reactive Trajectory Modulation","02_Papers\03_Bimanual\Reactive_Multiarm_Coordination.md","B","https://ieeexplore.ieee.org/document/10758213/","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Rethinking Bimanual Robotic Manipulation: Learning with Decoupled Interaction Framework","02_Papers\03_Bimanual\Rethinking_Bimanual_Robotic_Manipulation_Learning_with_Decoupled_Interaction_Framework.md","B","https://openaccess.thecvf.com/content/ICCV2025/html/Jiang_Rethinking_Bimanual_Robotic_Manipulation_Learning_with_Decoupled_Interaction_Framework_ICCV_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"SafeBimanual: Diffusion-based trajectory optimization for safe bimanual manipulation","02_Papers\03_Bimanual\SafeBimanual.md","B","https://proceedings.mlr.press/v305/deng25c.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"TwinVLA: Data-Efficient Bimanual Manipulation with Twin Single-Arm Vision-Language-Action Models","02_Papers\03_Bimanual\TwinVLA.md","B","https://proceedings.iclr.cc/paper_files/paper/2026/hash/65475a59e2a2cb707c9462e8a308e980-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"VoxAct-B: Voxel-Based Acting and Stabilizing Policy for Bimanual Manipulation","02_Papers\03_Bimanual\VoxAct-B.md","B","https://proceedings.mlr.press/v270/liu25i.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"You Only Teach Once: Learn One-Shot Bimanual Robotic Manipulation from Video Demonstrations","02_Papers\03_Bimanual\YOTO.md","B","https://www.roboticsproceedings.org/rss21/p149.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Cross-Embodiment Dexterous Grasping with Reinforcement Learning","02_Papers\04_Dexterous\Cross-Embodiment_Dexterous_Grasping_with_Reinforcement_Learning.md","B","https://proceedings.iclr.cc/paper_files/paper/2025/hash/ca8c6f28d8ba1e732e3f217ab05c4ec0-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"DexHandDiff: Interaction-aware Diffusion Planning for Adaptive Dexterous Manipulation","02_Papers\04_Dexterous\DexHandDiff.md","B","https://openaccess.thecvf.com/content/CVPR2025/html/Liang_DexHandDiff_Interaction-aware_Diffusion_Planning_for_Adaptive_Dexterous_Manipulation_CVPR_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"DextER: Language-driven Dexterous Grasp Generation with Embodied Reasoning","02_Papers\04_Dexterous\DextER.md","B","https://openaccess.thecvf.com/content/CVPR2026/html/Lee_DextER_Language-driven_Dexterous_Grasp_Generation_with_Embodied_Reasoning_CVPR_2026_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Dexterous Grasp Transformer","02_Papers\04_Dexterous\Dexterous_Grasp_Transformer.md","B","https://openaccess.thecvf.com/content/CVPR2024/html/Xu_Dexterous_Grasp_Transformer_CVPR_2024_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Dexterous Manipulation Transfer via Progressive Kinematic-Dynamic Alignment","02_Papers\04_Dexterous\Dexterous_Manipulation_Transfer_via_Progressive_Kinematic-Dynamic_Alignment.md","B","https://ojs.aaai.org/index.php/AAAI/article/view/38874","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"DexTrack: Towards Generalizable Neural Tracking Control for Dexterous Manipulation from Human References","02_Papers\04_Dexterous\DexTrack.md","B","https://proceedings.iclr.cc/paper_files/paper/2025/hash/d5a1f97d2b922da92e880d13b7d2bf02-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"DexUMI: Using Human Hand as the Universal Manipulation Interface for Dexterous Manipulation","02_Papers\04_Dexterous\DexUMI.md","B","https://proceedings.mlr.press/v305/xu25a.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"DexVLG: Dexterous Vision-Language-Grasp Model at Scale","02_Papers\04_Dexterous\DexVLG.md","A","https://openaccess.thecvf.com/content/ICCV2025/html/He_DexVLG_Dexterous_Vision-Language-Grasp_Model_at_Scale_ICCV_2025_paper.html","Yes","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2026-09-21","true","Completed - Full text read"
"LatentHOI: On the Generalizable Hand Object Motion Generation with Latent Hand Diffusion","02_Papers\04_Dexterous\LatentHOI.md","B","https://openaccess.thecvf.com/content/CVPR2025/html/Li_LatentHOI_On_the_Generalizable_Hand_Object_Motion_Generation_with_Latent_CVPR_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Learning Object-Centric Motion Priors from Human for Robotic Dexterous Manipulation","02_Papers\04_Dexterous\Learning_Object-Centric_Motion_Priors_from_Human_for_Robotic_Dexterous_Manipulation.md","B","https://ojs.aaai.org/index.php/AAAI/article/download/38892/42854","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Scaffolding Dexterous Manipulation with Vision-Language Models","02_Papers\04_Dexterous\Scaffolding_Dexterous_Manipulation_with_Vision-Language_Models.md","B","https://proceedings.neurips.cc/paper_files/paper/2025/hash/862644b156e51c35dea5a7446d640b14-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Evaluating the Effect of State and Action Selection on In-Hand Manipulation Performance for Transferability","02_Papers\04_Dexterous\State_Action_Transferability.md","B","https://ieeexplore.ieee.org/document/10955245/","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Towards Affordance-Aware Robotic Dexterous Grasping with Human-like Priors","02_Papers\04_Dexterous\Towards_Affordance-Aware_Robotic_Dexterous_Grasping_with_Human-like_Priors.md","B","https://ojs.aaai.org/index.php/AAAI/article/view/38313","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"UniDex: A Robot Foundation Suite for Universal Dexterous Hand Control from Egocentric Human Videos","02_Papers\04_Dexterous\UniDex.md","A","https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_UniDex_A_Robot_Foundation_Suite_for_Universal_Dexterous_Hand_Control_CVPR_2026_paper.html","Yes","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2026-09-21","true","Completed - Full text read"
"UniGraspTransformer: Simplified Policy Distillation for Scalable Dexterous Robotic Grasping","02_Papers\04_Dexterous\UniGraspTransformer.md","B","https://openaccess.thecvf.com/content/CVPR2025/html/Wang_UniGraspTransformer_Simplified_Policy_Distillation_for_Scalable_Dexterous_Robotic_Grasping_CVPR_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Generalizable Domain Adaptation for Sim-and-Real Policy Co-Training","02_Papers\05_Sim2Real\Generalizable_Domain_Adaptation_for_Sim-and-Real_Policy_Co-Training.md","B","https://proceedings.neurips.cc/paper_files/paper/2025/hash/1185c89347a3f21ffc48c9d083c9437c-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Rapidly Adapting Policies to the Real-World via Simulation-Guided Fine-Tuning","02_Papers\05_Sim2Real\Rapidly_Adapting_Policies_to_the_Real-World_via_Simulation-Guided_Fine-Tuning.md","B","https://proceedings.iclr.cc/paper_files/paper/2025/hash/e68274fc4f158dbcbd4dddc672f7ee9c-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Sim-to-Real Reinforcement Learning for Vision-Based Dexterous Manipulation on Humanoids","02_Papers\05_Sim2Real\Sim-to-Real_Reinforcement_Learning_for_Vision-Based_Dexterous_Manipulation_on_Humanoids.md","B","https://proceedings.mlr.press/v305/lin25c.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Sim2Real-VLA: Zero-Shot Generalization of Synthesized Skills to Realistic Manipulation","02_Papers\05_Sim2Real\Sim2Real-VLA.md","B","https://openreview.net/pdf/a4174c2964dc0df03c26c311b73e0a2e43de2929.pdf","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"3D Diffuser Actor: Policy Diffusion with 3D Scene Representations","02_Papers\06_Diffusion_Flow_IL_RL\3D_Diffuser_Actor.md","B","https://proceedings.mlr.press/v270/ke25a.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Action Chunking and Data Augmentation Yield Exponential Improvements in Behavior Cloning for Continuous Spaces","02_Papers\06_Diffusion_Flow_IL_RL\Action_Chunking_and_Data_Augmentation_Yield_Exponential_Improvements_in_Behavior_Cloning_f.md","B","https://proceedings.iclr.cc/paper_files/paper/2026/hash/cd96cb9a239c37b39dbf34f3f5a4c56f-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"AR-VRM: Imitating Human Motions for Visual Robot Manipulation with Analogical Reasoning","02_Papers\06_Diffusion_Flow_IL_RL\AR-VRM.md","B","https://openaccess.thecvf.com/content/ICCV2025/html/Yang_AR-VRM_Imitating_Human_Motions_for_Visual_Robot_Manipulation_with_Analogical_ICCV_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"AutoCGP: Closed-Loop Concept-Guided Policies from Unlabeled Demonstrations","02_Papers\06_Diffusion_Flow_IL_RL\AutoCGP.md","B","https://proceedings.iclr.cc/paper_files/paper/2025/hash/6eed1e1d5ed52deee53234786998245e-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"BAKU: An Efficient Transformer for Multi-Task Policy Learning","02_Papers\06_Diffusion_Flow_IL_RL\BAKU.md","B","https://proceedings.neurips.cc/paper_files/paper/2024/hash/ff887781480973bd3cb6026feb378d1e-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
